Rank,Bib,LastName,FirstName,Team,Nationality,Category,PositionInCategory,PositionInGenre,OfficialTime,Delay
1,3,e41a852e734c36524b4521e950e9d4f06c5758db5437bfdaa5465190,4d008e38ce605d4be8f5d35eeda73183b71b6bcc0022beb49c001aa3,bbefcdd6b8078b50c4278bda714a7abbcaab59892b4463a113fb4911,ita,SM40,1,1,2:24:00,+0:00
2,1526,398c1c567d9615aa2c8456d24ded9f37ffbab1a59db9291414fe7ca6,c3becf83a409df2ad36b60d2792495a71a587f41b265b616bea2af42,68d326a411631cf6414f3b4b105f8d46b1ef53c8296908010351eeac,bel,SM,1,2,2:25:53,+1:53
3,7,289d400f292ec13d46bb57ca301f46ffa7663fa839b6dd18f9890838,d4bf3293b07767c458c65379e034a5b5d6baeec0bd04ffad779951f6,84cf4bb3281bd7f562125ac194aade35f69f6deae80cc968a1b9d928,ita,SM,2,3,2:26:23,+2:23
4,8,9b6097201c843b9d762c1651fba184b934da494fea5234bffb14c459,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,ee3808b948f189a114c3445f3b2877ebb0c173687981097b6d980966,ita,SM,3,4,2:27:07,+3:07
5,9,33df4ba3be0630d93a189a2d1574195d71ecfa9a28b390d0a9817c2b,d887599ce44249ce921295ebbd0a5d3f9548ec20d59af626049e8c49,3244ab7102293e3e8d1f973d2d7ecf691ef461f68883b6b0629ee899,ita,SM,4,5,2:28:34,+4:34
6,5,f27f2b877d7ccdf0408bbf4811162b6173523f42ccefc1aae29d5d4a,4548376649d53baab338e043f30d638ae4ac1ef0b9547e34d9ae29c9,1e2a3130c28c0b346651762bcacd6ed8c107f644ebc5c24ba6323588,ita,SM40,2,6,2:36:40,+12:40
7,13,012dcf7c901f4816bf0d36cf0266efc0e27593bf2f8afb05ffd9223c,2272bb3d111eb20706214def10eef4e5809d81dcd375507c3e35e26d,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,gbr,SM35,1,7,2:37:00,+13:00
8,12,9a069e419318b028a64f73bd97780bf25571d2932f89c91015575ea7,1e03e8457083dad3ac900257cba66486c5678a4fec479fd826b6e197,bfc0791a4781886c34dfcb0b3edd0f68e5ea864aa4e5be10439ec4a4,gbr,SM40,3,8,2:37:24,+13:24
9,1613,d56fc9c2ef412f17b92aaa1b59f4ba87bbc41920a69073e25cf1f04c,f69628cbfe51ed629db04cea17c1d55f83d7aab3e0e9c9d6ed9e38a2,10d1738d8f853eb1cc03843eea8da6734ce415b0d73c4314e153c7d5,ita,SM35,2,9,2:38:28,+14:28
10,25,b227980051610a88d43dfad33c35a2026e3de4084fc0d7f869e1cadd,18db7beb9be2ffcf77ee247d486bc9e80467ff43ee141e632e884028,6b6830884f7a55e47b8bda3f8688fa369458ee1fc8c2146c472bb36d,ita,SM45,1,10,2:38:48,+14:48
11,17,5b3d25f981f46749ceb0fbbf77a8643d0aec6b299a9d480234df261d,b396c2381ed1b6efd99760b4901de98231a89827a67b25ab3b21a66a,2675e29f7e3f788daf97c945b23ebeaf4fad364b7478419c217c1fcf,ger,SM,5,11,2:39:15,+15:15
12,1647,f8fd54f9b4af04989dbb7cb9793193eb7592af9eb32d43141842718b,45252f011733bd806b465554dbd7796d4dff2bca8250be28bd4ca00c,2675e29f7e3f788daf97c945b23ebeaf4fad364b7478419c217c1fcf,ger,SM,6,12,2:39:41,+15:41
13,1629,72ebb3f0685b159d188d8dd83853af0ba5207e1b5b1265b86acf2516,7c09fb876e70a7c110312c37158db41067b87c9c35b3a431c0cc7cfb,2675e29f7e3f788daf97c945b23ebeaf4fad364b7478419c217c1fcf,ger,SM35,3,13,2:39:41,+15:42
14,11,5fd0c8ca6f98172a699c58beffec9f42eb8e5a31cee133fe660c6053,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,3f61880132d07c9e2b51211319aaeda7a3aa139180365ff336ba5c36,ita,SM,7,14,2:40:36,+16:36
15,38,831e107df95ed817e56df9c045d85c52a19b65306cfcfd3bad3b2d92,e5428ce190b1611b6af4120ef253d786b6a0f15b477e28344c2d0089,7d696f7dcec485fb48c9e1cbc68284e69e0ade258478bc2dc8067cd3,gbr,SM,8,15,2:41:07,+17:07
16,1511,9f5b0ec46e816afa8cc95bd30baec5473df25ef4013ae939ce2c2998,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,1f64f88f3fce3d9b22c8f8519501a0f6464440e9456816f5865c3867,ita,SM,9,16,2:41:57,+17:57
17,1326,7eb8ffd3ca8f07fcab68d1f36881e5c982ba5dd96f3699b944789acb,c151582e72f3fdbc1d934a5316bbb2ebe88dc89d9b89028b3d30a912,10d1738d8f853eb1cc03843eea8da6734ce415b0d73c4314e153c7d5,ita,SM50,1,17,2:43:06,+19:06
18,1662,f502da906b86b6c57c8350b459b7c1b4a1a75db708d156add551ffff,aef05157129e3e3ead447c833e180ba00dadde0986f329d13eef80fe,26d9c61c99956c61713b93a238fe068d0bb1a699ffb27f8c59429dba,ned,SM,10,18,2:43:32,+19:32
19,1671,c28595fadb2ed08f4c41dcdff4f35d2d31dac463b5d1f39cafac2a74,f19feca98494dac5a6fd1a84f5626d0a136744d8c783b7f02cbdedbf,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,aut,SM,11,19,2:44:30,+20:30
